RICE (Variety 1) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Rice,Long Grain,0.01,9.1,0.01,14.24,89.145,West Africa has one of the highest per capita consumption of rice in the world 
RICE (Variety 1) collected in FIELD 1 &2of KWARA STATE,Nigeria,Kwara,Rice,Long Grain,0.03,8.91,0.8,48.91,88.62,"Rice is a major source of energy, due to the high carbohydrate content"
RICE (Variety 1) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Rice,Long Grain,0.02,9.64,0.48,52.455,88.2,"Rice processing mostly involves removing the bran, which makes the fibre content lower than most cereal "
RICE (Long grain variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Rice,Long Grain,0,8.46,0.685,11.98,89.565,"Rice does not have a high iron content, therefore combining it  with pulses that have higher iron content can help provide an iron nutrient balance"
RICE (Long grain variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Rice,Long Grain,0.01,7.6,0.78,54.555,89.995,"Rice is not a reasonable source of Protein, so it should be combined with other sources of protein "
RICE (Variety 2) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Rice,Short Grain,0.005,7.775,0.155,21.735,90.23,
RICE (Variety 2) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Rice,Short Grain,0,8.355,0.735,38.31,89.46,
RICE (Variety 2) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Rice,Short Grain,0.01,8.985,0.635,25.545,88.7,
RICE (Short grain variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Rice,Short Grain,0.045,8.935,0.585,22.435,89.155,
RICE (Short grain variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Rice,Short Grain,0.065,7.945,0.69,21.605,89.795,
AMARANTH (Variety 1) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Amaranth,V1,10.165,34.305,2.565,762.09,34.85,Amaranth leafs commonly called spinach is consumed as a side dish to most staple that are high in carbohydrates but low in fibre
AMARANTH (Variety 1) collected in FIELD 1 &2of KWARA STATE,Nigeria,Kwara,Amaranth,V1,13.425,31.345,2.69,336.655,34.63,Amaranth It is a vey rich source of iron 
AMARANTH (Variety 1) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Amaranth,V1,8.935,26.645,2.505,322.535,43.755,Amaranth is high in fibre and therefore important for gut health
OKRO (Long Variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Okro,Long,31.69,21.365,14.71,48.175,26.1,The protein conent in combination to the high mineral content in amaranth greens is essential for its antioxidant properties
OKRO (Long Variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Okro,Long,33.17,22.46,16.205,44.465,22.05,Amaranth should be steamed to prevent nutrient loss
AMARANTH (Variety 2) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Amaranth,V2,12.745,28.065,2.3,582.89,37.655,
AMARANTH (Variety 2) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Amaranth,V2,12.685,31.29,1.685,882.27,33.915,Okro is a vegetable used as a side dish for staples high in carbohydrates
AMARANTH (Variety 2) collected in FIELD 1 & 2 of OYO STATE,Nigeria,Oyo,Amaranth,V2,11.985,23.41,2.095,593.37,42.235,Okro is mostly combined with other vegetables and proteins to make it a balanced meal
OKRO (Short Variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Okro,Short,31.82,22.825,15.84,43.05,23.295,Okro has a rich source of vitmains A and C
OKRO (Short Variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Okro,Short,29.625,26.56,17.675,76.36,19.785,The high fibre and protein content  provides a good balance for its carbohydrate content and makes it beneficial for diabetic patients
